"Aa"	"Ab"	"Ac"	"Ad"	"Ae"	"Af"	"ST01"	"SU02"	"D03"	"ST04"	"SU05"	"D06"	"D07"	"SU08"	"ST09"	"SU10"	"D11"	"ST12"	"SU13"	"D14"	"D15"	"SU16"	"ST17"	"SU18"	"D19"	"ST20"	"SU21"	"D22"	"D23"	"SU24"	"ST25"	"SU26"	"D27"	"ST28"	"SU29"	"D30"	"D31"	"SU32"	"Ca"	"Cb"	"Cc"	"Cd"	"Ce"	"Cf"	"Cg"	"Ch"	"Da"	"Db"	"Dc"	"Dd"	"De"	"Df"	"Dg"	"Dh"	"Di"	"Dj"	"age"	"attitude"	"points"	"gender"	"d_sm"	"d_ri"	"d_ue"	"deep"	"st_os"	"st_tm"	"stra"	"su_lp"	"su_um"	"su_sb"	"surf"
"90"	2	1	2	1	1	1	3	2	4	2	3	3	3	2	2	2	3	1	1	4	4	3	3	1	4	1	1	3	3	3	1	5	3	1	1	3	4	4	4	5	3	5	4	3	5	5	1	4	3	1	3	1	1	1	1	4	26	20	0	"F"	14	13	14	41	9	5	14	10	6	12	28
"91"	3	2	2	1	1	2	3	2	4	3	3	2	3	2	4	1	4	2	2	4	2	1	4	2	4	2	2	2	2	2	1	1	4	3	2	4	3	4	2	5	3	4	5	3	4	4	4	4	5	5	5	2	4	2	3	5	29	39	30	"F"	16	13	9	38	12	10	22	6	9	9	24
"92"	2	2	1	1	1	1	5	1	4	2	4	2	4	2	4	4	4	2	4	4	2	2	3	1	4	4	5	2	4	4	4	5	2	1	4	4	2	5	5	2	4	4	5	2	2	5	2	4	4	2	4	1	2	1	1	4	21	25	12	"F"	14	14	10	38	16	9	25	11	17	13	41
"93"	5	3	5	5	5	5	4	2	5	4	5	4	4	2	3	2	4	5	2	4	4	3	2	1	3	4	3	3	4	3	4	5	2	2	2	4	5	4	4	4	3	3	4	2	4	3	3	4	4	2	4	2	3	5	2	4	28	33	17	"M"	14	15	17	46	13	15	28	10	12	12	34
"94"	2	1	2	3	2	1	2	4	5	4	4	3	5	2	1	5	5	1	2	4	5	2	2	2	4	1	4	4	5	4	1	5	4	1	3	2	4	4	3	5	4	4	2	3	4	3	2	5	5	3	4	1	5	2	3	5	23	35	0	"M"	18	15	17	50	6	7	13	16	13	12	41
"95"	2	4	3	5	5	5	4	1	5	3	2	5	4	2	5	2	5	2	1	5	4	2	3	1	4	1	3	3	3	3	1	5	4	2	1	4	5	4	2	5	4	4	5	4	4	5	2	4	5	3	4	1	3	5	1	5	21	33	18	"F"	18	16	17	51	13	8	21	9	7	11	27
"96"	3	2	2	1	1	1	4	2	5	4	4	4	4	2	2	2	4	4	3	5	4	4	4	1	4	2	2	3	2	2	4	4	3	3	2	4	4	5	3	5	4	4	5	2	4	5	2	4	4	3	2	1	4	2	4	4	30	30	19	"F"	16	16	14	46	14	13	27	9	11	13	33
"97"	2	2	1	1	1	1	4	4	5	2	3	2	4	3	1	4	5	2	4	4	2	4	3	2	5	1	5	4	2	4	4	5	4	1	4	2	5	5	3	5	5	4	5	4	5	3	1	5	4	4	4	1	3	1	2	4	21	29	21	"F"	19	14	11	44	12	6	18	15	16	16	47
"98"	3	1	2	1	1	1	4	3	5	3	3	4	4	2	2	1	4	3	2	4	4	2	3	2	2	4	3	2	4	2	3	4	4	2	2	5	4	2	2	4	4	3	4	4	4	3	3	3	4	4	3	1	4	3	4	4	23	33	24	"M"	15	15	16	46	12	12	24	10	10	8	28
"99"	3	5	5	5	5	5	4	1	4	3	4	2	4	1	4	2	4	4	1	4	4	3	4	1	4	4	4	3	4	4	5	4	4	4	3	4	5	5	4	4	3	4	4	2	4	4	3	4	4	4	4	1	3	2	4	4	21	33	28	"F"	16	15	15	46	17	15	32	8	12	13	33
"100"	3	4	4	4	5	4	4	3	4	2	4	4	5	1	4	2	4	4	4	5	2	2	4	1	2	4	3	4	4	2	4	4	4	2	2	4	4	5	4	4	4	2	4	2	2	4	3	4	3	4	4	2	3	4	3	5	21	35	17	"F"	14	18	14	46	16	12	28	10	13	10	33
"101"	3	1	1	1	1	1	2	2	4	2	3	4	3	3	2	2	3	4	4	3	3	2	3	3	3	2	2	3	4	2	4	4	4	2	3	5	5	5	2	4	3	3	4	3	3	4	3	5	5	3	4	2	4	3	2	5	20	36	18	"F"	14	14	16	44	11	10	21	11	12	12	35
"102"	3	2	2	1	1	1	4	4	5	4	3	3	4	2	4	1	5	2	3	4	4	2	4	1	5	2	1	2	4	5	2	4	5	1	2	4	5	4	1	5	4	4	5	1	5	3	2	5	5	4	5	4	4	5	4	4	21	42	0	"M"	20	14	16	50	14	9	23	10	9	13	32
"103"	1	1	2	1	1	1	4	2	5	2	2	4	4	2	2	1	4	2	2	4	4	1	2	1	4	2	2	5	4	2	4	4	4	2	2	5	5	4	2	4	4	3	5	2	5	4	2	4	4	5	4	2	3	5	4	4	22	37	17	"M"	17	18	17	52	12	8	20	8	8	9	25
"104"	2	5	5	5	5	5	4	4	4	3	4	5	5	4	3	2	5	4	3	5	4	4	5	1	4	2	4	4	2	3	3	4	5	2	5	5	5	5	5	5	5	5	5	4	5	5	3	5	4	1	4	1	3	1	2	4	35	28	0	"F"	18	19	16	53	15	11	26	11	16	16	43
"105"	4	4	4	5	3	4	4	4	4	4	4	4	4	4	3	3	3	3	3	3	3	3	3	3	4	4	4	4	2	4	5	3	4	4	5	5	5	4	3	4	3	4	4	3	4	4	5	5	5	5	5	1	5	1	5	5	21	42	23	"M"	15	16	14	45	15	15	30	13	16	15	44
"106"	4	3	2	2	1	2	4	4	3	2	4	1	2	4	2	3	4	1	3	4	2	3	2	4	2	1	2	3	2	4	3	4	2	1	2	4	3	4	3	5	3	4	4	4	4	3	1	3	2	4	1	1	2	4	2	2	22	22	0	"M"	11	13	8	32	11	5	16	15	11	15	41
"107"	3	1	1	1	1	1	4	4	5	3	2	3	4	1	4	2	5	4	1	5	3	2	3	4	4	4	3	4	4	4	5	4	4	2	2	4	5	5	3	5	5	4	5	3	5	3	3	4	3	4	3	2	3	2	4	4	21	32	26	"M"	18	17	15	50	16	13	29	14	8	12	34
"108"	2	1	1	1	1	1	5	5	5	4	4	4	4	1	5	4	5	5	3	4	3	3	5	3	5	4	2	3	4	4	1	5	5	4	2	3	3	5	1	1	1	1	1	4	1	1	5	5	5	5	5	5	5	5	5	5	20	50	28	"F"	20	14	14	48	16	17	33	17	11	13	41
"109"	3	1	2	1	1	1	4	1	5	4	2	5	5	1	5	1	4	4	1	4	4	2	4	1	4	5	1	3	4	2	5	2	4	4	1	2	4	4	2	5	4	4	4	3	4	2	4	5	5	5	5	4	4	5	5	5	22	47	31	"M"	17	14	17	48	18	17	35	5	5	9	19
"110"	3	2	3	1	1	1	3	5	5	4	5	4	5	2	2	2	5	3	3	4	4	2	3	4	5	2	2	3	5	2	2	3	5	2	2	5	5	3	1	5	4	5	4	3	4	3	4	4	4	5	4	2	3	2	4	4	20	36	27	"F"	20	17	18	55	10	11	21	14	12	9	35
"111"	3	1	2	1	1	1	4	2	4	4	3	2	4	2	5	2	4	3	3	4	2	4	4	2	4	3	2	2	4	4	5	5	5	4	2	4	5	5	3	5	5	5	3	3	4	4	4	5	5	5	5	1	3	1	2	5	20	36	25	"F"	17	14	13	44	18	14	32	11	10	15	36
"112"	4	3	4	3	4	3	4	5	4	3	2	3	4	2	3	1	3	1	5	5	2	2	2	3	4	3	1	4	2	2	4	5	3	2	4	5	5	3	4	4	3	4	4	2	3	5	2	5	4	3	2	2	3	2	3	3	24	29	23	"M"	14	18	12	44	13	9	22	14	12	9	35
"113"	1	1	1	1	1	1	4	2	5	5	1	3	5	2	4	4	4	2	3	5	4	2	3	2	4	1	3	2	3	2	2	5	4	1	2	4	3	4	2	5	5	4	5	2	4	4	2	5	4	5	4	2	3	2	4	4	20	35	21	"F"	17	16	13	46	13	9	22	13	9	10	32
"114"	4	3	2	2	1	2	2	3	4	2	2	3	2	4	1	2	3	1	4	3	4	4	2	4	2	1	1	2	2	3	1	4	2	1	1	2	2	4	2	4	3	3	3	3	4	4	4	4	5	4	4	4	5	4	3	3	19	40	27	"F"	11	9	11	31	6	5	11	13	8	15	36
"115"	3	2	2	1	1	1	4	3	4	2	4	3	4	3	2	2	4	2	2	3	2	2	3	2	4	2	2	4	3	4	1	3	4	2	2	3	4	4	3	5	4	3	3	4	4	3	2	4	4	5	3	2	3	3	4	5	21	35	28	"F"	16	14	12	42	10	8	18	10	10	13	33
"116"	2	1	1	2	1	1	3	3	3	4	4	2	2	2	4	3	4	4	2	4	2	3	4	4	4	2	2	2	4	3	4	5	4	4	1	3	3	5	5	5	5	5	5	3	3	4	3	3	2	5	3	2	1	5	5	3	21	32	23	"F"	15	11	11	37	15	14	29	15	9	13	37
"117"	2	1	2	1	1	1	5	1	5	4	4	4	5	2	3	1	5	3	2	4	4	3	3	1	2	4	2	4	4	2	5	5	4	3	2	5	5	5	2	5	3	3	4	4	4	5	2	4	4	3	2	1	1	2	3	4	22	26	21	"F"	16	18	17	51	16	14	30	8	10	12	30
"118"	4	2	2	1	2	2	4	1	5	4	4	2	2	2	4	2	5	4	1	2	2	2	4	1	4	2	2	1	4	2	5	5	5	5	1	2	4	5	2	5	4	5	5	2	4	4	2	4	1	4	1	1	1	1	1	4	25	20	25	"F"	19	7	12	38	17	15	32	9	8	11	28
"119"	2	1	2	2	1	2	4	2	4	4	5	3	4	2	2	1	4	4	2	4	2	4	3	1	2	2	4	3	2	4	4	5	2	2	3	3	4	3	2	4	3	2	5	4	5	3	2	4	3	2	3	1	3	2	2	5	21	27	11	"F"	12	14	11	37	13	12	25	9	14	13	36
"120"	2	1	1	2	2	1	4	4	4	4	2	4	4	3	2	2	4	4	2	5	4	3	2	2	5	2	4	4	4	2	4	4	4	4	3	4	4	5	4	5	4	3	4	2	4	4	3	4	4	4	4	2	3	2	2	4	22	32	19	"F"	17	17	16	50	12	14	26	12	11	13	36
"121"	1	2	2	2	2	2	2	4	3	2	5	2	1	2	4	4	3	1	4	2	2	4	4	4	4	1	4	2	2	4	2	5	2	1	3	2	2	5	5	3	4	5	5	2	2	5	3	4	5	3	5	1	4	1	2	5	25	33	24	"F"	12	7	8	27	12	5	17	17	16	15	48
"122"	4	1	3	2	1	1	4	4	5	3	2	3	4	2	3	2	3	2	3	4	3	2	3	4	3	2	4	2	2	4	4	4	4	2	3	3	4	5	4	4	3	2	5	3	3	3	4	4	4	4	4	3	4	4	4	4	20	39	28	"F"	15	13	12	40	14	9	23	14	12	13	39
"123"	3	2	2	2	1	1	2	5	2	1	4	3	3	3	1	4	4	2	4	3	4	3	2	3	3	2	2	2	2	3	1	5	3	1	3	4	4	3	3	2	2	2	3	3	2	1	3	3	4	3	4	2	4	3	2	5	24	33	21	"M"	12	12	13	37	6	6	12	17	13	12	42
"124"	2	2	1	1	1	1	3	4	3	3	4	3	3	4	4	3	3	2	3	3	2	4	3	2	3	1	3	2	2	4	2	4	3	2	3	3	3	4	4	4	3	4	5	2	3	4	3	3	4	4	4	2	3	2	2	3	20	30	24	"F"	12	11	10	33	12	8	20	13	13	16	42
"125"	2	2	3	1	1	2	4	1	4	3	4	4	4	4	4	2	2	4	5	3	2	4	3	4	4	2	3	3	4	5	4	5	2	2	4	4	3	5	3	3	4	5	3	2	4	4	4	4	4	4	4	2	4	5	3	3	21	37	24	"M"	12	14	13	39	15	11	26	12	16	18	46
"126"	3	1	3	1	1	1	5	3	5	4	4	4	3	3	4	2	4	3	2	4	3	2	3	3	4	4	3	4	2	3	2	5	3	1	2	4	5	5	5	5	4	4	4	2	4	4	1	2	1	2	2	1	1	1	1	2	26	14	0	"F"	16	15	14	45	14	12	26	13	11	13	37
"127"	4	1	1	1	1	1	4	3	5	3	2	5	5	4	2	2	5	4	2	5	4	2	3	1	4	2	2	5	4	4	1	2	5	1	1	5	5	5	4	5	5	3	4	4	5	4	3	4	4	3	4	1	3	1	3	4	28	30	0	"M"	19	20	18	57	10	10	20	8	7	15	30
"128"	3	2	2	1	1	1	4	2	4	3	3	5	4	3	4	1	4	4	3	4	3	3	5	1	5	4	3	4	3	4	2	4	4	3	3	3	5	5	4	5	4	4	5	3	3	3	3	4	3	1	3	1	3	2	1	4	20	25	20	"F"	17	15	16	48	15	14	29	8	12	15	35
"129"	2	2	1	1	1	2	4	2	4	4	2	3	4	2	4	1	3	3	1	4	2	3	3	1	4	5	1	4	4	2	4	5	4	4	1	3	4	5	2	4	4	3	4	1	3	4	2	3	3	4	4	1	3	2	4	3	20	29	19	"F"	15	15	13	43	15	16	31	9	5	12	26
"130"	4	1	1	1	1	1	4	1	4	3	2	4	5	1	4	1	4	5	2	5	3	1	3	1	4	4	2	5	3	1	4	2	4	4	2	4	4	4	3	5	4	4	5	5	5	4	3	5	4	3	4	3	3	5	4	5	31	39	30	"M"	16	19	14	49	15	16	31	5	8	7	20
"131"	4	1	1	1	1	1	2	1	5	2	3	4	5	2	4	1	4	2	2	5	3	3	2	1	4	2	3	4	3	2	3	2	5	2	2	4	5	3	3	5	4	4	3	4	5	4	2	5	5	5	5	1	3	2	3	5	20	36	22	"F"	18	18	15	51	11	8	19	5	10	10	25
"132"	3	2	3	2	1	1	4	1	4	4	4	3	4	3	4	1	4	3	2	5	3	4	3	1	5	1	3	3	2	4	3	5	3	2	2	3	2	4	2	4	3	2	4	1	3	3	2	4	2	4	2	2	2	5	2	4	22	29	16	"F"	16	15	10	41	14	10	24	8	11	15	34
"133"	5	1	2	1	1	2	4	2	4	4	4	2	3	2	4	3	2	2	4	4	2	4	4	2	4	3	4	4	2	4	4	4	2	2	4	4	4	4	2	4	3	4	4	2	3	4	2	2	2	1	2	2	2	2	2	4	22	21	16	"F"	12	15	10	37	16	11	27	11	16	14	41
"134"	4	2	2	2	2	2	3	4	4	2	4	3	4	4	2	2	3	4	4	4	4	3	3	2	3	3	2	3	3	4	3	3	3	2	3	4	4	5	3	4	4	4	5	3	4	5	2	3	4	3	3	2	3	4	3	4	21	31	19	"M"	13	15	14	42	11	11	22	11	13	16	40
"135"	2	2	1	1	1	1	4	2	5	4	4	3	5	5	4	3	5	4	2	4	2	4	5	2	4	1	4	4	3	5	1	4	4	2	2	4	4	5	3	4	4	4	4	3	3	4	1	4	3	1	3	1	1	5	1	4	20	24	0	"F"	18	17	12	47	14	11	25	11	12	19	42
"136"	3	1	1	1	1	1	5	2	4	4	2	3	2	2	4	2	4	4	4	4	4	2	5	1	2	5	2	4	4	2	5	5	4	4	2	4	5	5	1	4	4	2	4	2	4	2	4	4	5	4	5	2	3	5	4	4	22	40	30	"M"	14	14	16	44	19	17	36	10	10	11	31
"137"	4	1	2	1	1	1	4	1	5	4	3	3	5	4	4	1	5	2	2	5	4	4	3	1	4	1	4	5	4	4	1	4	3	2	2	4	4	4	4	5	4	4	4	5	5	2	2	5	4	1	4	2	2	4	2	5	21	31	23	"F"	17	19	15	51	12	9	21	7	11	16	34
"138"	3	2	2	1	1	1	2	3	5	3	4	4	5	4	3	2	4	2	2	5	4	4	4	2	4	1	2	4	4	4	5	5	4	2	3	4	4	5	4	5	3	4	5	1	5	4	2	3	4	1	3	1	3	1	1	4	21	23	19	"F"	17	18	16	51	14	8	22	12	11	17	40
"139"	2	2	2	1	1	1	3	3	5	3	3	3	4	4	4	2	4	3	2	5	4	5	5	1	4	2	2	3	3	3	4	5	5	2	2	3	3	4	3	4	4	5	5	2	4	3	2	3	2	5	2	3	2	3	3	3	21	28	18	"F"	18	15	13	46	16	10	26	11	9	16	36
"140"	5	1	1	1	1	1	5	3	5	5	2	3	4	2	5	5	5	5	1	5	5	4	1	4	5	2	1	5	5	2	5	5	5	5	1	1	5	1	5	1	1	5	1	1	1	1	3	5	5	4	5	1	2	5	2	5	21	37	28	"F"	20	15	18	53	16	17	33	17	5	9	31
"141"	3	1	3	2	1	1	4	2	4	2	2	3	4	2	4	2	4	2	2	4	3	2	4	1	3	2	2	2	4	2	5	5	4	4	2	3	4	5	4	4	4	2	5	2	3	4	3	4	4	1	4	1	2	2	2	3	20	26	21	"F"	15	13	14	42	17	10	27	10	8	11	29
"142"	2	1	1	1	1	1	4	2	5	2	5	4	5	2	2	4	4	4	2	5	1	4	3	1	5	4	5	2	2	4	1	5	2	2	5	4	4	4	4	5	2	4	4	4	4	3	2	4	4	1	4	1	2	1	1	4	21	24	19	"F"	16	16	11	43	10	12	22	12	17	14	43
"143"	3	1	2	1	1	1	5	1	4	4	2	4	4	1	4	1	4	4	2	4	2	2	3	1	5	4	2	2	3	2	5	4	4	4	2	4	4	5	4	4	4	4	4	3	5	5	4	4	4	2	4	1	4	2	1	4	25	30	27	"F"	17	14	13	44	17	16	33	7	8	10	25
"144"	4	2	3	2	1	1	4	3	4	4	3	4	5	3	4	2	4	2	3	4	5	2	2	1	4	2	3	4	4	2	4	5	4	2	4	5	4	2	1	5	2	2	3	3	5	3	3	3	2	3	4	2	3	4	3	2	27	29	0	"F"	16	18	17	51	14	10	24	11	13	9	33
"145"	1	1	1	1	2	1	4	4	3	5	4	4	3	4	4	3	4	4	5	4	4	3	4	4	4	5	4	3	4	4	3	4	5	4	4	3	4	4	5	4	4	4	4	2	2	5	4	4	3	4	3	2	3	3	3	3	20	32	0	"F"	16	13	16	45	15	18	33	15	17	15	47
"146"	3	2	1	1	1	1	4	4	3	2	3	2	2	5	4	5	2	3	4	2	2	5	4	2	3	3	5	1	2	5	2	5	2	4	4	2	2	5	5	4	2	5	5	1	1	5	3	4	3	2	3	2	2	3	2	4	21	28	24	"M"	10	7	8	25	14	12	26	16	16	20	52
"147"	3	1	2	1	1	1	3	2	4	3	2	4	4	2	3	2	5	3	2	5	4	4	3	2	5	2	2	5	4	3	4	5	3	2	2	4	4	4	3	5	4	4	5	2	4	4	1	4	4	3	4	1	3	3	2	4	24	29	21	"F"	17	18	16	51	13	10	23	11	8	13	32
"148"	4	1	2	1	1	1	3	3	4	2	4	3	4	2	3	2	5	4	2	4	2	4	4	1	4	2	4	3	2	2	4	4	4	1	3	4	4	5	5	5	4	3	5	2	3	5	2	3	2	4	2	2	1	3	4	1	20	24	20	"F"	17	15	11	43	14	9	23	10	13	13	36
"149"	4	3	4	5	4	5	3	1	5	3	4	4	4	2	3	2	4	3	2	4	2	4	2	1	4	2	2	4	4	4	1	4	4	2	1	4	5	5	5	5	3	3	4	3	5	4	2	4	4	3	4	2	3	3	2	4	21	31	28	"M"	17	16	15	48	9	10	19	8	9	15	32
"150"	3	2	2	1	1	1	4	1	4	4	3	3	4	2	4	1	4	4	2	4	4	2	3	1	3	4	3	4	2	1	5	5	3	3	2	4	1	3	3	4	4	4	4	4	4	3	1	2	3	2	4	1	1	1	1	3	20	19	12	"F"	14	16	10	40	16	15	31	8	10	8	26
"151"	3	4	3	2	1	1	4	3	4	1	2	2	4	3	4	2	4	2	2	5	4	3	2	1	4	2	3	2	1	2	1	5	4	1	3	4	4	3	1	4	4	3	4	2	5	2	2	3	1	2	1	2	1	5	1	2	20	20	21	"F"	16	15	11	42	11	6	17	11	10	11	32
"152"	3	2	2	2	1	2	5	1	4	4	2	2	4	1	4	1	3	4	3	4	2	3	3	1	4	4	4	2	2	2	5	3	4	3	2	3	4	4	4	4	4	4	3	3	4	4	3	4	4	5	4	2	4	3	4	5	18	38	28	"F"	15	13	10	38	17	15	32	6	11	10	27
"153"	3	2	2	3	1	2	4	3	4	4	2	2	4	2	4	2	4	3	2	4	3	2	3	2	4	2	4	3	4	2	5	4	3	1	3	4	4	4	2	5	5	5	5	3	4	2	3	4	4	5	3	1	4	2	4	4	21	34	31	"F"	15	15	13	43	16	10	26	11	11	10	32
"154"	4	1	1	1	1	1	3	4	4	2	4	4	3	2	3	4	4	2	3	4	2	4	2	2	3	3	1	3	3	4	5	5	3	1	2	4	4	5	3	4	4	3	5	3	4	5	1	4	4	5	4	4	2	4	5	4	19	37	18	"F"	14	14	13	41	13	8	21	15	10	15	40
"155"	4	1	2	1	1	1	4	5	5	3	4	3	5	3	3	4	5	3	1	5	3	1	4	5	4	2	2	5	4	3	2	5	5	1	5	5	2	4	4	5	3	5	5	4	4	5	3	4	4	3	4	1	2	2	3	3	21	29	25	"F"	19	20	12	51	13	9	22	19	12	11	42
"156"	2	3	3	1	1	2	4	2	5	4	3	2	3	2	4	1	4	4	3	3	4	3	4	1	4	3	2	2	4	4	5	5	2	4	3	2	4	4	2	4	3	4	4	2	2	4	2	4	2	4	2	1	2	1	1	4	20	23	19	"F"	15	10	14	39	17	15	32	9	11	13	33
"157"	2	1	2	1	1	1	3	2	4	3	4	5	4	1	4	1	4	3	2	5	4	1	2	1	4	2	2	4	4	2	4	2	5	3	2	5	5	4	4	4	3	5	5	4	5	5	4	4	5	4	4	3	4	4	4	5	21	41	21	"M"	17	18	18	53	13	11	24	6	10	8	24
"158"	4	3	2	2	1	1	4	3	4	4	3	3	4	2	2	2	3	2	2	4	3	3	4	1	3	2	2	3	3	4	5	4	3	4	3	3	3	5	3	4	4	3	4	4	3	4	2	4	3	3	3	1	2	2	3	4	20	27	16	"F"	13	14	12	39	15	12	27	10	10	14	34
"159"	2	1	2	3	1	1	4	5	5	4	3	4	5	5	4	1	4	2	2	4	2	5	3	5	4	4	2	2	4	5	5	1	4	5	3	4	5	5	5	5	4	5	5	3	4	4	1	5	5	4	5	1	3	2	4	5	21	35	7	"F"	17	15	15	47	16	15	31	12	10	20	42
"160"	4	2	3	1	2	2	4	3	4	2	1	4	4	2	3	1	4	4	2	4	4	2	4	1	3	1	4	3	4	3	5	5	4	3	2	3	2	4	5	5	4	4	5	4	4	2	4	5	3	2	4	2	3	4	2	5	20	34	21	"F"	15	14	14	43	16	10	26	10	9	11	30
"161"	3	2	3	1	1	1	4	5	5	4	3	3	5	2	4	1	5	2	2	5	5	3	4	4	5	2	2	4	3	4	5	4	4	2	3	5	5	5	3	5	4	4	4	4	5	3	2	5	4	4	4	1	3	2	2	5	18	32	17	"F"	19	19	16	54	17	10	27	14	10	14	38
"162"	2	3	2	2	1	2	4	1	5	3	2	3	2	4	3	3	4	5	4	4	3	3	5	1	3	5	4	3	4	4	5	5	3	3	1	4	5	5	5	4	3	5	5	3	4	5	3	4	4	3	2	4	2	5	3	3	22	33	22	"M"	15	13	15	43	17	16	33	10	11	16	37
"163"	4	1	2	1	1	1	4	2	5	4	4	3	4	3	4	2	4	4	3	4	3	4	3	1	2	3	3	3	4	3	4	3	4	2	3	4	4	4	4	3	3	4	5	3	4	3	2	4	3	4	2	3	3	5	3	4	22	33	18	"F"	15	15	14	44	15	13	28	8	13	14	35
"164"	3	2	2	3	1	1	2	3	3	2	3	2	2	4	3	3	2	1	3	3	4	5	2	2	3	1	1	1	2	5	4	5	1	1	2	5	3	2	2	5	3	5	3	2	3	4	2	3	4	5	3	3	3	5	4	3	24	35	25	"M"	9	11	11	31	11	5	16	13	9	16	38
"165"	2	1	1	1	1	1	2	2	4	4	3	3	5	2	4	1	4	4	3	5	4	2	3	2	4	4	1	4	4	2	5	4	4	3	3	4	5	5	4	5	4	3	5	3	5	4	2	4	4	4	4	2	3	3	2	4	19	32	24	"F"	16	18	16	50	14	15	29	9	10	11	30
"166"	3	1	2	1	1	1	4	3	4	4	4	3	3	4	4	3	4	2	4	4	2	4	3	3	3	2	4	2	3	5	5	5	4	3	3	3	4	4	5	4	4	5	5	3	3	5	3	3	4	4	3	1	3	2	4	4	20	31	23	"F"	15	12	12	39	16	11	27	14	15	17	46
"167"	2	4	4	5	5	4	2	2	4	1	2	3	4	1	2	2	3	3	2	5	2	2	3	4	4	2	4	3	2	2	4	5	4	1	4	5	4	4	2	5	3	3	4	3	3	4	1	4	2	4	3	1	2	2	1	4	21	24	0	"F"	15	17	11	43	11	7	18	13	12	9	34
"168"	5	1	2	1	1	1	2	4	5	2	2	4	4	2	2	1	5	1	2	4	5	2	2	4	4	2	1	4	4	2	4	4	4	2	2	5	4	1	1	5	4	4	2	2	5	2	2	4	2	4	2	2	2	4	4	2	20	28	23	"F"	18	17	17	52	10	7	17	13	7	7	27
"169"	3	1	3	3	1	1	5	3	5	5	5	3	5	2	4	4	3	4	4	5	2	2	4	1	3	5	5	5	4	2	5	5	3	5	5	5	4	3	3	5	4	5	5	1	4	2	1	1	2	3	3	1	2	1	1	2	17	17	26	"F"	14	20	13	47	18	19	37	13	19	9	41
"170"	4	3	4	2	2	4	5	5	3	3	4	3	4	5	3	2	2	3	2	2	3	5	3	1	2	1	4	4	2	4	1	4	1	1	4	4	2	5	5	4	4	5	5	3	3	5	1	3	3	1	3	1	2	1	1	3	19	19	12	"M"	8	14	10	32	12	8	20	12	14	19	45
"171"	4	1	2	1	1	1	4	2	5	2	2	1	4	2	2	1	4	1	2	5	3	2	2	1	4	2	1	4	2	1	1	4	3	2	1	4	4	2	1	5	4	3	3	4	5	2	2	4	4	5	4	2	3	2	2	4	23	32	0	"F"	16	17	10	43	9	7	16	8	6	7	21
"172"	2	2	2	1	1	1	4	2	5	2	2	3	3	4	3	3	2	3	2	3	3	4	3	2	3	2	2	2	3	4	4	5	3	2	2	3	4	4	4	3	3	3	4	2	4	4	4	4	3	5	3	3	1	4	4	4	20	35	32	"F"	13	11	13	37	14	9	23	12	8	16	36
"173"	3	1	2	1	1	1	3	2	5	2	3	3	5	3	2	1	5	2	2	5	4	3	4	1	2	2	2	4	2	4	3	4	3	4	2	3	4	4	1	1	3	3	1	4	2	3	1	3	2	4	2	1	2	2	4	3	20	24	22	"F"	15	17	13	45	12	10	22	8	9	14	31
"174"	4	2	2	2	1	1	4	2	5	4	3	4	5	4	4	1	5	2	3	4	4	3	3	2	4	1	1	3	3	4	5	4	4	4	2	3	5	4	2	5	3	4	4	3	5	5	2	3	5	4	5	4	3	4	4	4	25	38	0	"F"	18	15	16	49	16	11	27	9	9	15	33
"175"	3	1	1	2	1	1	3	1	4	4	4	3	5	3	4	2	5	4	2	5	5	4	4	3	2	3	4	5	5	4	5	5	5	5	4	5	1	4	4	4	3	4	2	2	4	4	2	2	4	3	2	1	3	1	1	2	20	21	20	"F"	16	20	14	50	16	16	32	11	14	15	40
"176"	4	1	2	1	1	1	2	4	5	2	2	4	4	2	2	1	5	1	2	4	4	2	5	2	5	1	4	3	2	4	5	4	4	1	2	5	5	5	2	4	3	3	5	2	4	4	1	4	4	4	4	1	1	4	2	4	20	29	21	"F"	19	16	15	50	14	5	19	11	10	13	34
"177"	3	2	1	1	1	1	5	1	4	3	5	3	3	2	4	1	4	3	3	3	3	3	3	1	5	3	4	1	3	3	5	5	3	5	3	2	5	5	3	4	3	5	5	3	4	3	1	4	1	3	1	1	1	1	2	4	19	19	23	"F"	16	9	14	39	17	14	31	8	15	13	36
"178"	4	1	1	1	1	1	5	2	5	5	4	4	5	2	5	2	5	2	3	5	4	2	2	1	4	2	2	3	3	4	4	5	3	2	2	4	4	5	4	4	4	2	5	3	4	4	2	4	2	1	2	1	2	1	1	4	19	20	20	"F"	17	17	15	49	16	11	27	10	11	13	34
"179"	4	1	3	3	2	2	2	4	4	2	2	2	2	2	3	1	4	1	4	4	4	4	2	2	2	2	2	1	2	4	1	5	2	1	3	4	4	5	2	4	2	4	5	3	4	5	4	4	4	5	4	4	4	5	4	4	22	42	28	"F"	12	11	12	35	8	6	14	12	11	15	38
"180"	4	3	2	2	2	1	3	5	4	2	3	3	4	1	4	2	4	4	2	4	3	4	2	2	5	2	3	4	4	3	5	2	3	2	2	4	4	4	2	4	4	3	3	3	4	4	2	4	5	5	5	1	5	5	5	4	35	41	31	"M"	16	16	14	46	14	10	24	11	10	12	33
